id,display_name_key,description_key,source_kind,template_type,listener_scope,name,desc,target_data,triggers,runtime_defaults,timed_escape
eqt007,,,equipment,generic,face_up_only,hammer,"When thrown, apply 1 Lockout to self and the enemy face-up equipment. Lockout: throw and face-up effects are disabled, cannot stack, and is consumed after spell resolution.",,"[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""apply_face_up_equipment_status"", ""status_id"": ""st019"", ""target_side"": ""ally""}, {""type"": ""apply_face_up_equipment_status"", ""status_id"": ""st019"", ""target_side"": ""enemy""}]}]",,
eqt008,,,equipment,generic,face_up_only,broken stopwatch,"While face up, every 3 countdown ticks, give 1 Speedup to the front ally.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""event"": ""equipment_face_up"", ""actions"": [{""type"": ""runtime_set"", ""key"": ""tick_counter"", ""value"": 0}]}, {""event"": ""equipment_countdown_tick"", ""actions"": [{""type"": ""cycle_status_apply"", ""key"": ""tick_counter"", ""threshold"": 3, ""status_id"": ""st013"", ""target_index"": [0]}]}, {""event"": ""equipment_face_up_lost"", ""actions"": [{""type"": ""runtime_set"", ""key"": ""tick_counter"", ""value"": 0}]}]","{""tick_counter"": 0}",
ht001,,,hex,generic,spell_owner,scorching echo,"After fireball resolves, deal 1 extra damage to each enemy character actually affected by it.","[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""context_character_targets""}, ""index"": 0}]","[{""event"": ""spell_cast_after"", ""conditions"": {""hex_id"": ""fh001""}, ""actions"": [{""type"": ""health_change"", ""value"": -1, ""target_index"": [0]}]}]",,
ht002,,,hex,swift,spell_owner,swift,"Cast this hex immediately when it is rolled face up. If countdown also reaches zero from the same roll, this hex only resolves once.",[],[],,
ht003,,,hex,generic,spell_owner,haunt echo,"After haunt resolves, deal 6 extra damage to each affected character if the caster has Stealth.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""context_character_targets""}, ""index"": 0}]","[{""event"": ""spell_cast_after"", ""conditions"": {""hex_id"": ""fh024"", ""self_has_status_id"": ""st007""}, ""actions"": [{""type"": ""health_change"", ""value"": -6, ""target_index"": [0]}]}]",,
et001,,,enemy,generic,owner_only,toxic spores,"When killed, poison the killer for 1 stack.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""damage_source""}, ""index"": 0}]","[{""event"": ""last_breath"", ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st009"", ""stack_count"": 1, ""target_index"": [0]}]}]",,
et002,,,enemy,generic,owner_only,bright delight,"When damaged, gain Bright if absent and apply Speedup to all enemies. Otherwise remove Bright.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}, {""team"": 1, ""type"": 0, ""condition"": {""selector"": ""enemy_ally_all""}, ""index"": 1}]","[{""event"": ""enemy_damage_taken"", ""conditions"": {""exclude_damage_kind"": ""status_tick"", ""self_lacks_status_id"": ""st010""}, ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st010"", ""target_index"": [0]}, {""type"": ""status_apply"", ""status_id"": ""st013"", ""target_index"": [1]}]}, {""event"": ""enemy_damage_taken"", ""conditions"": {""exclude_damage_kind"": ""status_tick"", ""self_has_status_id"": ""st010""}, ""actions"": [{""type"": ""remove_status"", ""status_id"": ""st010"", ""target_index"": [0]}]}]",,
et003,,,enemy,generic,owner_only,undefined,"When this enemy's countdown is reduced, gain Stealth if absent.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""enemy_countdown_reduced"", ""conditions"": {""self_lacks_status_id"": ""st007""}, ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st007"", ""target_index"": [0]}]}]",,
et004,,,enemy,generic,owner_only,hidden maid,"After this enemy acts, gain Stealth if absent.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""enemy_action_after"", ""conditions"": {""self_lacks_status_id"": ""st007""}, ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st007"", ""target_index"": [0]}]}]",,
et005,,,enemy,generic,owner_only,half wall retreat,"When this enemy first drops to half health or below, the player can leave the battle.",[],"[{""event"": ""enemy_damage_taken"", ""conditions"": {""battle_escape_not_triggered_for_self"": true, ""self_health_ratio_lte"": 0.5}, ""actions"": [{""type"": ""enable_battle_escape""}]}]",,
et006,,,enemy,timed_escape,owner_only,timed escape,"If it has never escaped before, start battle with 3 Escape. Lose 1 Escape after each action. Escape when Escape runs out, move to the nearest normal battle room, fully recover, gain max health, and learn an upgraded spell.",[],[],,"{""countdown_mode"": ""action_status"", ""allow_multiple_escapes"": false, ""max_escape_count"": 1, ""max_health_bonus_per_escape"": 4, ""marker_id"": ""pipeling"", ""escape_status_id"": ""st016"", ""escape_status_duration"": 3, ""upgraded_hexes_after_escape"": [""fh026""]}"
et007,,,enemy,generic,owner_only,gilded echo,"After this enemy resolves a spell, apply Resonance to each character actually affected by that spell.","[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""context_character_targets""}, ""index"": 0}, {""team"": 1, ""type"": 0, ""condition"": {""selector"": ""context_character_targets""}, ""index"": 1}]","[{""event"": ""enemy_spell_resolved_after"", ""actions"": [{""type"": ""status_apply"", ""status_id"": ""st011"", ""target_index"": [0, 1]}]}]",,
et008,,,enemy,generic,owner_only,emberless recovery,"After this enemy acts, recover 4 health if it does not have Burn.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""enemy_action_after"", ""conditions"": {""self_lacks_status_id"": ""st002""}, ""actions"": [{""type"": ""health_change"", ""value"": 4, ""target_index"": [0]}]}]",,
et009,,,enemy,generic,owner_only,frontline urge,"After this enemy takes damage, advance 1.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""enemy_damage_taken"", ""conditions"": {""exclude_damage_kind"": ""status_tick""}, ""actions"": [{""type"": ""advance"", ""steps"": 1, ""target_index"": [0]}]}]",,
et010,,,enemy,generic,owner_only,impulsive,"When this enemy's countdown is reduced, advance 1.","[{""team"": 1, ""type"": 0, ""condition"": {""self"": true}, ""index"": 0}]","[{""event"": ""enemy_countdown_reduced"", ""actions"": [{""type"": ""advance"", ""steps"": 1, ""target_index"": [0]}]}]",,
